Company Name,Skills required,Location,Job link
Cotocus,"machinelearning,docker,datascience",Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/machine-learning-engineer-cotocus-bengaluru-bangalore-0-to-3-yrs-jobid-sUMn__PLUS__W5YXrBzpSvf__PLUS__uAgZw==&source=srp
Kwalee,"artificialintelligence,sql,jam,games,python,simulator,mobile,problemsolving,machinelearning",Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/machine-learning-engineer-kwalee-bengaluru-bangalore-0-to-3-yrs-jobid-8IJB0uQkslBzpSvf__PLUS__uAgZw==&source=srp
freshworkstechnologiesltd,"algorithms,ds,java,oops,softwareengineer,softwareengineering,datastructures,api,crm,san,python,machinelearning",Chennai,https://www.timesjobs.com/job-detail/lead-software-engineer-machine-learning-freshworks-technologies-ltd-chennai-0-to-3-yrs-jobid-qS9Q3dkW1yRzpSvf__PLUS__uAgZw==&source=srp
freshworkstechnologiesltd,"algorithms,database,softwareengineer,softwareengineering,datastructures,api,hadoop,bigdata,technicalskills,crm,san,python,naturallanguageprocessing,machinelearning,messaging,writtencommunication",Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/lead-software-engineer-machine-learning-freshworks-technologies-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-tqM1AorgfflzpSvf__PLUS__uAgZw==&source=srp
Cellworks,"algorithms,python,datamining,machinelearning,nosql,d3.js,java,datastructures,mysql",,https://www.timesjobs.com/job-detail/data-scientist-cellworks-0-to-3-yrs-jobid-4EBLs3Fk3rNzpSvf__PLUS__uAgZw==&source=srp
OrangeBusinessServices,"hive,algorithms,datamining,sql,d3.js,api,bigdata,python,machinelearning,nosql",Gurgaon,https://www.timesjobs.com/job-detail/data-scientist-orange-business-services-gurgaon-0-to-3-yrs-jobid-pWxtJTasooVzpSvf__PLUS__uAgZw==&source=srp
nielsensports,"artificialintelligence,database,problemsolving,teamplayer,machinelearning,datacommunication",Jeddah,https://www.timesjobs.com/job-detail/data-scientist-nielsensports-jeddah-0-to-3-yrs-jobid-aluWnH8m221zpSvf__PLUS__uAgZw==&source=srp
iontradingindiapvt.ltd.,"hive,cloudera,algorithms,datamining,dbms,sql,java,xml,mysql,hadoop,bigdata,hbase,python,microsoftazure,problemsolving,impala,machinelearning,hdfs",Italy,https://www.timesjobs.com/job-detail/data-scientist-ion-trading-india-pvt-ltd-italy-0-to-3-yrs-jobid-qtgcC1LVSNJzpSvf__PLUS__uAgZw==&source=srp
BoyenHaddinConsultantsLLP,"hive,algorithms,machinelearning,sql,pig,d3.js",Mumbai,https://www.timesjobs.com/job-detail/data-engineer-machine-learning-boyen-haddin-consultants-llp-mumbai-0-to-3-yrs-jobid-lWos6FdMjABzpSvf__PLUS__uAgZw==&source=srp
AlstomProjectsIndiaLtd.,"algorithms,datamining,database,machinelearning,infrastructure,reportingtools",,https://www.timesjobs.com/job-detail/data-scientist-m-f-d-alstom-projects-india-ltd-0-to-3-yrs-jobid-S__SLASH__QhGvaz25BzpSvf__PLUS__uAgZw==&source=srp
